Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
鶴田　圭祐,Eagles,600,投手,2,180,88,A型,左,左,滋賀,1994-05-12,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
西口　直人,Eagles,600,投手,2,183,83,B型,右,右,大阪,1996-11-14,62,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,0,0,0,0,0,29,7.2,5,1,1,0,3,2,2,0.78,4.42
小山　雄輝,Eagles,1900,投手,8,187,82,O型,右,右,愛知,1988-12-05,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
福山　博之,Eagles,12000,投手,8,172,70,B型,右,右,島根,1989-03-27,64,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,1,2,0,3,0.333,100,21.1,28,1,14,0,4,16,16,1.97,4.9
堀内　謙伍,Eagles,600,捕手,3,174,82,A型,右,左,静岡,1997-04-15,65,0.174,12,24,23,4,0,2,1,1,0,1,0,0,0.208,0.261,0.469,1.79,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
村林　一輝,Eagles,600,内野手,3,180,73,O型,右,右,大阪,1997-10-06,66,0.114,28,49,44,5,0,2,0,3,0,12,2,2,0.17,0.136,0.307,-0.71,-0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
西巻　賢二,Eagles,500,内野手,1,167,68,A型,右,右,福島,1999-04-22,67,0.247,25,82,77,19,0,3,0,3,0,18,2,1,0.275,0.286,0.561,2.51,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
細川　亨,Eagles,2000,捕手,17,183,103,B型,右,右,青森,1980-01-04,68,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,-2.81,-2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
野元　浩輝,Eagles,500,投手,2,181,73,O型,右,右,長崎,1998-05-16,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
石原　彪,Eagles,500,捕手,2,172,96,A型,右,右,京都,1999-03-08,70,0.2,4,5,5,1,0,0,1,0,0,2,0,0,0.2,0.2,0.4,1.96,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
久保　裕也,Eagles,1500,投手,16,177,78,B型,右,右,福岡,1980-05-23,91,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,1,0,1,3,1,112,26.1,22,4,11,1,18,6,5,1.25,4.98
コラレス,Eagles,600,投手,2,188,102,不明,右,右,アメリカ,1990-05-25,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
石橋　良太,Eagles,700,投手,3,175,77,A型,右,左,大阪,1991-06-06,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
